recency,frequency,monetary
1971,4,121.50
1298,7,67.42
230,34,581.71
503,24,367.79
1311,8,37.18
413,1,13.98
552,53,407.12
448,42,456.14
2641,5,77.74
2655,1,99.33
1016,10,50.99
175,4,42.44
1005,15,187.23
2607,2,45.08
1616,1,8.05
2895,2,36.62
347,1,9.20
543,10,214.00
2335,9,194.96
1246,14,347.33
2539,4,73.58
1813,9,291.26
1680,11,157.02
935,10,74.46
1813,3,36.47
1217,3,17.12
2230,40,990.81
2718,2,53.92
629,100,1036.96
1765,2,12.87
2216,1,33.32
2283,5,46.13
1499,4,78.93
568,6,73.11
252,6,60.16
1219,5,58.42
2176,4,30.96
585,60,1058.06
2732,3,30.52
2694,1,48.75
507,51,961.13
1242,1,3.32
2229,2,26.65
1174,1,6.49
2343,15,197.34
171,10,96.15
2639,16,792.84
1859,5,38.01
2743,62,621.25
2696,6,58.11
2326,25,385.13
2500,3,125.13
2239,4,175.54
1992,1,39.97
455,4,50.60
1623,7,100.88
2413,2,66.65
1629,1,18.63
1243,17,245.91
210,1,4.17
1024,15,311.59
197,42,298.29
2325,12,383.28
1737,8,168.58
692,2,13.22
219,145,1609.69
2078,3,95.78
239,1,9.33
636,4,27.64
2399,1,53.30
1725,1,3.33
2298,4,52.48
171,39,228.44
704,16,170.86
662,8,90.44
1751,3,48.51
2160,14,242.56
439,14,186.02
717,37,669.54
2535,11,145.03
1028,7,199.84
1376,4,55.26
295,1,8.23
2418,11,142.69
2329,2,69.37
187,33,269.92
596,41,495.02
411,23,355.34
2539,1,11.63
438,21,440.20
274,157,2159.35
2730,5,46.54
1300,9,153.21
2211,12,105.40
539,34,602.01
1936,16,47.90
958,2,24.34
1028,3,15.04
1677,3,134.95
663,6,36.91
1588,3,61.78
1491,10,168.75
190,23,639.37
2256,5,110.26
2436,4,76.91
932,22,360.48
2893,4,192.99
872,29,373.43
389,224,4382.26
916,27,385.00
1520,3,67.83
1659,2,68.49
1255,8,162.46
2082,46,631.39
2512,20,245.53
1229,9,125.90
1676,15,173.51
555,17,425.92
1756,27,36.97
2751,2,45.93
1953,16,342.16
1023,51,280.21
2897,6,150.89
244,69,945.78
1934,1,7.00
809,1,7.79
2363,1,16.66
1727,8,58.00
690,24,259.98
1528,19,278.56
1876,1,5.22
1468,12,172.10
1106,1,1.05
2635,1,62.93
2584,1,27.51
974,2,36.62
575,20,191.97
1387,4,19.32
1157,9,11.88
197,4,81.59
2212,1,67.46
209,127,1000.22
312,18,544.34
207,23,278.78
2527,3,98.81
2778,5,64.70
1516,16,435.97
524,7,49.13
1340,1,1.39
300,7,56.33
1797,3,55.79
294,60,398.02
887,1,108.33
2350,20,226.55
1479,4,104.36
571,55,523.60
1701,1,5.18
206,8,62.34
1604,12,260.53
2091,1,19.92
394,17,233.36
203,3,36.30
2089,14,730.34
1392,36,284.27
1819,9,132.92
514,21,142.49
1163,2,27.02
191,10,212.20
1338,19,93.48
1100,2,10.22
221,95,1884.80
1218,14,411.23
302,11,187.35
1599,2,18.11
2688,1,115.83
660,6,34.82
2841,3,162.20
1241,1,24.29
2238,3,31.79
328,4,21.40
1603,3,66.42
569,13,232.34
724,18,173.66
181,294,2398.00
694,2,11.40
660,1,8.18
425,11,219.04
543,42,455.18
1980,1,8.32
565,23,440.23
202,16,220.26
588,11,106.46
2010,10,127.35
2716,1,31.88
337,183,3206.85
