recency,frequency,monetary,variety
2672,1,27.41,1
436,45,415.79,43
906,4,24.04,4
1243,4,20.04,4
2009,6,47.36,6
1010,18,240.60,17
453,15,245.70,13
2807,6,33.62,6
2315,2,90.94,2
916,5,80.44,4
2595,3,101.22,3
282,41,525.99,37
1735,20,109.36,8
2321,2,66.65,2
1193,45,446.21,41
635,6,28.86,4
1704,11,249.88,9
1067,5,107.19,5
1733,7,31.54,5
1223,3,118.08,3
2564,9,106.00,9
1403,5,24.13,1
1933,5,43.59,5
1754,19,381.64,16
372,102,624.40,81
2190,9,89.67,9
360,20,282.65,20
990,1,9.50,1
451,1,24.13,1
2667,11,140.20,5
250,11,119.60,11
1159,37,731.40,35
983,1,6.16,1
687,9,74.53,9
816,3,30.99,2
684,192,6318.06,127
2022,65,864.79,53
172,8,79.64,8
1317,25,236.80,18
1048,12,81.15,12
2361,5,54.30,5
273,9,270.39,8
923,24,611.30,16
1989,4,159.04,4
2863,2,23.77,2
545,11,263.38,9
1095,1,18.81,1
1731,5,19.03,4
2850,6,72.40,6
1598,2,100.16,2
1213,2,15.21,2
1883,5,95.56,5
1698,13,116.26,13
1919,8,35.39,8
1629,2,28.26,2
421,3,48.28,3
1301,11,125.60,10
1355,2,26.37,1
1918,14,143.11,13
1632,4,8.92,4
193,160,1165.72,113
2527,10,127.78,7
2587,5,164.84,5
317,60,631.29,50
305,82,710.54,69
2384,2,158.31,2
2563,2,67.13,2
1533,21,348.49,19
2156,3,90.02,3
1961,6,100.54,6
623,8,64.65,6
2619,1,57.50,1
1949,8,61.75,6
873,5,87.66,5
1555,2,4.68,1
424,3,44.66,3
630,76,718.57,59
219,5,28.82,5
1477,5,56.50,5
2725,9,143.16,8
1760,1,6.66,1
1066,15,289.01,14
1908,2,19.63,2
2543,10,166.40,10
237,45,891.72,36
637,59,466.57,52
872,2,38.78,2
886,19,264.39,16
1451,22,140.15,21
1772,1,15.46,1
1502,1,69.29,1
1106,2,28.75,2
191,29,237.34,24
1149,4,68.32,4
2452,4,27.03,3
287,28,254.77,26
2316,29,285.72,28
808,2,11.90,2
2265,2,44.76,2
1634,27,261.70,18
219,3,27.59,3
913,45,544.41,29
505,3,21.91,3
1223,32,645.13,30
