recency,frequency,monetary,variety
2483,0.013422818,56.63,2
380,0.053691275,85.00,8
804,0.026845637,27.38,3
777,0.033557046,92.56,5
1559,0.080536912,384.46,7
177,0.006711409,23.59,1
2696,0.013422818,134.92,1
2539,0.006711409,21.25,1
1323,0.093959731,174.93,12
865,0.013422818,41.09,2
196,0.248322147,397.04,26
2491,0.033557046,134.91,5
2330,0.006711409,49.99,1
1993,0.033557046,245.89,5
1589,0.013422818,34.22,2
2850,0.046979865,44.24,7
1683,0.006711409,33.13,1
507,0.335570469,514.34,31
879,0.026845637,56.47,4
1382,0.456375838,465.98,62
355,0.093959731,91.17,12
1366,0.033557046,24.01,5
844,0.040268456,89.70,6
337,0.187919463,355.80,22
277,0.080536912,143.55,12
2456,0.006711409,34.95,1
2267,0.020134228,62.13,3
1639,0.046979865,233.45,6
2798,0.020134228,498.17,3
505,0.348993288,1546.27,36
628,0.020134228,192.76,3
609,0.161073825,345.45,22
1314,0.093959731,132.24,14
953,0.013422818,77.58,2
628,0.510067114,584.33,70
2635,0.020134228,63.87,3
204,3.013422818,7376.37,250
689,0.288590604,539.30,36
1770,0.006711409,41.63,1
2685,0.006711409,71.21,1
2722,0.046979865,187.07,7
541,0.208053691,460.20,28
2747,0.033557046,73.62,5
376,0.322147651,750.39,43
433,0.026845637,33.84,4
1379,0.107382550,204.59,16
1014,0.174496644,173.30,22
818,0.006711409,10.28,1
2585,0.006711409,5.82,1
589,0.040268456,132.98,6
1246,0.033557046,88.40,5
2054,0.040268456,106.61,6
1679,0.013422818,4.32,2
1050,0.040268456,77.38,4
385,0.174496644,242.97,25
1598,0.033557046,170.27,5
1980,0.046979865,121.78,7
2695,0.046979865,118.12,6
292,0.214765100,218.07,28
453,0.825503355,561.51,103
846,1.020134228,2240.34,96
1988,0.040268456,164.27,5
2259,0.053691275,73.73,8
2822,0.013422818,51.77,2
2595,0.006711409,46.20,1
853,0.033557046,98.16,4
1659,0.033557046,19.31,5
1286,0.046979865,97.60,7
1876,0.006711409,11.36,1
508,0.268456375,413.96,28
2693,0.006711409,112.86,1
570,0.013422818,35.05,2
2855,0.033557046,46.91,5
1139,0.006711409,20.19,1
1632,0.026845637,74.55,4
1330,0.033557046,34.40,5
1330,0.013422818,28.37,2
804,0.120805369,219.51,16
2359,0.107382550,121.49,15
877,0.100671140,223.02,14
2352,0.013422818,102.26,2
204,0.872483221,944.58,90
388,0.060402684,90.04,6
296,0.046979865,38.23,7
693,0.100671140,216.43,15
1110,0.040268456,84.82,6
2292,0.087248322,388.26,12
2266,0.006711409,85.42,1
2494,0.020134228,48.53,3
2009,0.013422818,45.66,2
2701,0.107382550,90.72,15
858,0.093959731,311.19,8
855,0.228187919,448.45,30
1685,0.020134228,31.46,3
473,0.161073825,420.36,18
461,0.026845637,47.90,4
2455,0.026845637,65.80,4
190,0.221476510,362.92,30
2931,0.013422818,41.72,2
490,0.033557046,63.80,5
392,0.006711409,5.38,1
2430,0.013422818,169.15,2
1644,0.013422818,7.34,2
177,0.060402684,203.91,8
988,0.060402684,135.27,9
791,0.053691275,51.08,7
886,0.053691275,121.72,6
508,0.006711409,29.15,1
440,0.053691275,57.77,8
2718,0.006711409,195.42,1
1281,0.026845637,252.11,4
1041,0.026845637,62.63,4
781,0.100671140,75.15,15
1599,0.020134228,163.41,3
2930,0.053691275,48.75,4
1952,0.033557046,171.31,5
438,0.187919463,449.41,16
1023,0.154362416,221.78,19
2318,0.033557046,72.16,5
749,0.013422818,41.77,2
1280,0.006711409,14.88,1
1453,0.416107382,595.97,53
1450,0.020134228,107.91,3
331,0.919463087,1446.99,71
2529,0.033557046,87.75,4
213,0.248322147,573.34,27
293,2.214765100,5419.41,169
2015,0.026845637,46.45,3
204,0.046979865,133.76,4
2349,0.013422818,49.51,2
1469,0.483221476,1132.47,49
2769,0.013422818,35.34,2
1451,0.060402684,34.13,8
229,0.047297297,71.47,7
2387,0.027027027,34.49,4
234,0.168918918,333.04,23
2018,0.027027027,14.95,3
1210,0.006756756,7.88,1
2177,0.135135135,552.91,17
783,0.047297297,151.30,7
1764,0.108108108,113.29,5
178,0.364864864,826.26,51
315,0.317567567,866.45,41
445,0.121621621,151.92,14
2935,0.027027027,50.53,4
269,1.236486486,1735.37,99
1054,0.047297297,145.12,6
2091,0.006756756,21.63,1
454,0.202702702,179.82,27
318,0.702702702,2080.82,92
2247,0.040540540,71.32,6
992,0.101351351,145.88,14
1963,0.108108108,248.17,16
938,0.027027027,58.08,4
338,0.006756756,16.66,1
553,0.020270270,101.42,3
416,0.114864864,427.30,15
197,0.087837837,120.00,12
176,0.168918918,262.96,23
1479,0.006756756,33.52,1
1155,0.135135135,250.39,17
1565,0.148648648,162.52,19
500,0.283783783,959.17,36
2537,0.074324324,166.54,11
1626,0.195945945,316.13,22
2282,0.027027027,83.69,4
1539,0.081081081,312.49,8
1414,0.972972972,1824.10,90
629,0.013513513,7.95,2
1861,0.027027027,157.49,4
632,0.074324324,211.81,11
849,0.027027027,50.46,4
2784,0.033783783,317.61,4
2200,0.006756756,141.63,1
2323,0.006756756,41.66,1
1550,0.033783783,159.31,3
2198,0.006756756,29.96,1
523,0.006756756,32.96,1
998,0.006756756,57.83,1
1984,0.013513513,54.93,2
2734,0.013513513,46.43,2
440,0.168918918,300.84,25
242,0.027027027,49.38,3
2717,0.006756756,74.96,1
384,2.283783783,3677.23,183
1332,0.027027027,22.91,1
1168,0.013513513,39.61,2
1772,0.006756756,31.47,1
430,0.074324324,135.25,10
1304,0.047297297,84.99,6
2001,0.033783783,34.74,5
2335,0.027027027,62.42,4
1086,0.067567567,219.57,8
2334,0.020270270,56.22,3
284,0.027027027,118.27,4
2475,0.182432432,209.01,22
1200,0.040540540,50.75,6
2672,0.006756756,27.41,1
436,0.304054054,415.79,43
906,0.027027027,24.04,4
1243,0.027027027,20.04,4
2009,0.040540540,47.36,6
1010,0.121621621,240.60,17
453,0.101351351,245.70,13
2807,0.040540540,33.62,6
