recency,frequency,monetary,clusters
207,3,20.69,0
2371,1,11.63,1
649,9,102.53,0
2,48,647.5,0
2593,2,26.13,0
745,20,191.94,0
323,3,65.28,0
1699,4,27.55,0
2540,4,89.97,0
1221,6,47.81,0
2575,4,47.85,0
1876,3,50.81,0
1999,2,44.92,0
1963,3,103.33,0
823,1,14.25,1
925,1,17.22,1
2328,26,378.04,0
1220,3,18.35,0
640,10,223.09,0
385,14,66.05,0
351,1,7.89,1
9,18,660.9,0
107,40,725.07,0
578,1,7.79,1
441,12,116.06,0
702,6,87.41,0
1162,1,10.62,1
2208,5,42.92,0
1854,2,33.24,0
1438,6,95.11,0
2512,1,49.92,1
162,44,278.5,0
2180,4,45.22,0
769,10,140.26,0
181,10,163.28,0
1574,13,496.1,0
541,13,90.83,0
1895,7,100.45,0
2354,2,127.71,0
2435,1,37.46,1
254,18,246.55,0
2087,3,85.34,0
1261,16,80.38,0
89,5,30.05,0
1801,10,214.77,0
80,58,537.28,0
1423,67,765.8,0
1356,2,16.09,0
1313,3,74.79,0
2490,4,114.65,0
2195,2,55.71,0
1057,5,16.99,0
160,13,263.48,0
2159,11,157.51,0
1537,6,49.83,0
281,3,80.48,0
1586,6,130.8,0
279,2,75.61,0
188,2,32.93,0
999,14,166.62,0
879,1,6.94,1
793,42,548.5,0
920,16,123.82,0
1504,4,102.52,0
371,71,1194.46,0
252,6,25.65,0
1898,9,165.78,0
272,93,1119.33,0
131,6,60.93,0
53,11,72.28,0
2276,7,131.26,0
66,89,719.66,0
1087,1,27.95,1
189,3,27.17,0
2132,1,48.71,1
863,4,52.12,0
2503,13,147.13,0
1365,1,24.03,1
2059,10,271.25,0
2121,8,93.82,0
1123,9,121.71,0
121,29,372.31,0
2351,7,258.67,0
1438,3,83.81,0
2557,7,422.55,0
702,40,228.24,0
1252,7,25.86,0
2681,5,83.53,0
1875,12,129.45,0
1142,2,61.77,0
1077,1,25.86,1
1377,1,13.53,1
2153,5,99.21,0
874,38,191.43,0
356,7,307.28,0
813,6,23.17,0
1804,36,738.83,0
9,5,25.71,0
22,29,197.51,0
1498,14,20.03,0
404,5,64.86,0
15,66,877.09,0
542,74,505.95,0
1742,2,44.18,0
1468,6,60.27,0
726,57,381.09,0
55,222,3347.04,0
1956,15,247.79,0
2011,4,90.29,0
431,4,26.27,0
1175,4,3.22,0
1395,131,1927.34,0
851,11,79.21,0
1286,1,12.09,1
19,149,1883.57,0
1033,3,13.74,0
121,15,405.23,0
705,20,526.17,0
1227,13,458.17,0
364,13,297.8,0
499,2,78.91,0
850,6,20.32,0
1119,58,1075.72,0
34,5,81.03,0
1432,1,36.96,1
