recency,frequency,monetary,variety,kmeans_cluster
2747,5,73.62,5,1
376,48,750.39,43,3
433,4,33.84,4,0
1379,16,204.59,16,0
1014,26,173.3,22,0
818,1,10.28,1,0
2585,1,5.82,1,1
589,6,132.98,6,0
1246,5,88.4,5,0
2054,6,106.61,6,1
1679,2,4.32,2,1
1050,6,77.38,4,0
385,26,242.97,25,3
1598,5,170.27,5,1
1980,7,121.78,7,1
2695,7,118.12,6,1
292,32,218.07,28,3
453,123,561.51,103,3
846,152,2240.34,96,2
1988,6,164.27,5,1
2259,8,73.73,8,1
2822,2,51.77,2,1
2595,1,46.2,1,1
853,5,98.16,4,0
1659,5,19.31,5,1
1286,7,97.6,7,0
1876,1,11.36,1,1
508,40,413.96,28,3
2693,1,112.86,1,1
570,2,35.05,2,0
2855,5,46.91,5,1
1139,1,20.19,1,0
1632,4,74.55,4,1
1330,5,34.4,5,0
1330,2,28.37,2,0
804,18,219.51,16,0
2359,16,121.49,15,1
877,15,223.02,14,0
2352,2,102.26,2,1
204,130,944.58,90,3
388,9,90.04,6,0
296,7,38.23,7,0
693,15,216.43,15,0
1110,6,84.82,6,0
2292,13,388.26,12,1
2266,1,85.42,1,1
2494,3,48.53,3,1
2009,2,45.66,2,1
2701,16,90.72,15,1
858,14,311.19,8,0
855,34,448.45,30,3
1685,3,31.46,3,1
473,24,420.36,18,0
461,4,47.9,4,0
2455,4,65.8,4,1
190,33,362.92,30,3
2931,2,41.72,2,1
490,5,63.8,5,0
392,1,5.38,1,0
2430,2,169.15,2,1
1644,2,7.34,2,1
177,9,203.91,8,0
988,9,135.27,9,0
791,8,51.08,7,0
886,8,121.72,6,0
508,1,29.15,1,0
440,8,57.77,8,0
2718,1,195.42,1,1
1281,4,252.11,4,0
1041,4,62.63,4,0
781,15,75.15,15,0
1599,3,163.41,3,1
2930,8,48.75,4,1
1952,5,171.31,5,1
438,28,449.41,16,3
1023,23,221.78,19,0
2318,5,72.16,5,1
749,2,41.77,2,0
1280,1,14.88,1,0
1453,62,595.97,53,3
1450,3,107.91,3,1
331,137,1446.99,71,3
2529,5,87.75,4,1
213,37,573.34,27,3
293,330,5419.41,169,2
2015,4,46.45,3,1
204,7,133.76,4,0
2349,2,49.51,2,1
1469,72,1132.47,49,3
2769,2,35.34,2,1
1451,9,34.13,8,1
229,7,71.47,7,0
2387,4,34.49,4,1
234,25,333.04,23,3
2018,4,14.95,3,1
1210,1,7.88,1,0
2177,20,552.91,17,1
783,7,151.3,7,0
1764,16,113.29,5,1
178,54,826.26,51,3
315,47,866.45,41,3
445,18,151.92,14,0
2935,4,50.53,4,1
269,183,1735.37,99,2
1054,7,145.12,6,0
2091,1,21.63,1,1
454,30,179.82,27,3
318,104,2080.82,92,3
2247,6,71.32,6,1
992,15,145.88,14,0
1963,16,248.17,16,1
938,4,58.08,4,0
338,1,16.66,1,0
553,3,101.42,3,0
416,17,427.3,15,0
197,13,120.0,12,0
176,25,262.96,23,0
1479,1,33.52,1,1
1155,20,250.39,17,0
1565,22,162.52,19,1
500,42,959.17,36,3
2537,11,166.54,11,1
1626,29,316.13,22,3
2282,4,83.69,4,1
1539,12,312.49,8,1
1414,144,1824.1,90,3
629,2,7.95,2,0
1861,4,157.49,4,1
632,11,211.81,11,0
849,4,50.46,4,0
2784,5,317.61,4,1
2200,1,141.63,1,1
2323,1,41.66,1,1
1550,5,159.31,3,1
2198,1,29.96,1,1
523,1,32.96,1,0
998,1,57.83,1,0
1984,2,54.93,2,1
2734,2,46.43,2,1
440,25,300.84,25,3
242,4,49.38,3,0
2717,1,74.96,1,1
384,338,3677.23,183,2
1332,4,22.91,1,0
1168,2,39.61,2,0
1772,1,31.47,1,1
430,11,135.25,10,0
1304,7,84.99,6,0
2001,5,34.74,5,1
2335,4,62.42,4,1
1086,10,219.57,8,0
2334,3,56.22,3,1
284,4,118.27,4,0
2475,27,209.01,22,1
1200,6,50.75,6,0
2672,1,27.41,1,1
436,45,415.79,43,3
906,4,24.04,4,0
1243,4,20.04,4,0
2009,6,47.36,6,1
1010,18,240.6,17,0
453,15,245.7,13,0
2807,6,33.62,6,1
2315,2,90.94,2,1
916,5,80.44,4,0
2595,3,101.22,3,1
282,41,525.99,37,3
1735,20,109.36,8,1
2321,2,66.65,2,1
1193,45,446.21,41,3
635,6,28.86,4,0
1704,11,249.88,9,1
1067,5,107.19,5,0
1733,7,31.54,5,1
1223,3,118.08,3,0
2564,9,106.0,9,1
1403,5,24.13,1,0
1933,5,43.59,5,1
1754,19,381.64,16,1
372,102,624.4,81,3
2190,9,89.67,9,1
360,20,282.65,20,0
990,1,9.5,1,0
451,1,24.13,1,0
2667,11,140.2,5,1
250,11,119.6,11,0
1159,37,731.4,35,3
983,1,6.16,1,0
687,9,74.53,9,0
816,3,30.99,2,0
684,192,6318.06,127,2
2022,65,864.79,53,3
172,8,79.64,8,0
1317,25,236.8,18,0
1048,12,81.15,12,0
2361,5,54.3,5,1
273,9,270.39,8,0
923,24,611.3,16,3
1989,4,159.04,4,1
2863,2,23.77,2,1
545,11,263.38,9,0
1095,1,18.81,1,0
1731,5,19.03,4,1
2850,6,72.4,6,1
1598,2,100.16,2,1
1213,2,15.21,2,0
1883,5,95.56,5,1
1698,13,116.26,13,1
1919,8,35.39,8,1
1629,2,28.26,2,1
421,3,48.28,3,0
1301,11,125.6,10,0
1355,2,26.37,1,0
1918,14,143.11,13,1
1632,4,8.92,4,1
193,160,1165.72,113,3
2527,10,127.78,7,1
2587,5,164.84,5,1
317,60,631.29,50,3
305,82,710.54,69,3
2384,2,158.31,2,1
2563,2,67.13,2,1
1533,21,348.49,19,1
2156,3,90.02,3,1
1961,6,100.54,6,1
623,8,64.65,6,0
2619,1,57.5,1,1
1949,8,61.75,6,1
873,5,87.66,5,0
1555,2,4.68,1,1
424,3,44.66,3,0
630,76,718.57,59,3
219,5,28.82,5,0
1477,5,56.5,5,1
2725,9,143.16,8,1
1760,1,6.66,1,1
1066,15,289.01,14,0
1908,2,19.63,2,1
2543,10,166.4,10,1
237,45,891.72,36,3
637,59,466.57,52,3
872,2,38.78,2,0
886,19,264.39,16,0
1451,22,140.15,21,0
1772,1,15.46,1,1
1502,1,69.29,1,1
1106,2,28.75,2,0
191,29,237.34,24,3
1149,4,68.32,4,0
2452,4,27.03,3,1
287,28,254.77,26,3
2316,29,285.72,28,3
808,2,11.9,2,0
2265,2,44.76,2,1
1634,27,261.7,18,1
219,3,27.59,3,0
913,45,544.41,29,3
505,3,21.91,3,0
1223,32,645.13,30,3
249,6,88.98,6,0
2174,51,850.01,40,3
1289,11,134.65,11,0
203,30,491.24,30,3
2069,2,61.18,2,1
1089,31,613.61,27,3
2432,8,46.05,7,1
1093,71,1316.42,62,3
1534,21,373.07,18,1
912,4,23.68,3,0
720,47,1236.31,36,3
2445,4,33.95,4,1
185,38,618.7,33,3
530,3,12.93,2,0
831,9,92.77,9,0
279,5,50.56,3,0
997,3,30.1,3,0
222,30,292.43,22,3
449,5,87.34,2,0
434,59,310.53,44,3
465,14,113.73,13,0
547,69,811.38,56,3
2291,3,57.74,3,1
1241,3,141.49,3,0
755,7,80.17,7,0
2177,2,42.74,2,1
169,229,4551.13,100,2
1888,11,67.98,11,1
1998,5,163.48,5,1
1164,6,114.52,6,0
2323,8,106.72,6,1
1272,3,31.51,3,0
395,50,613.29,41,3
1617,1,14.27,1,1
1195,20,105.54,20,0
1083,62,531.07,43,3
929,4,144.04,4,0
2722,3,33.44,2,1
1503,28,426.98,23,3
489,141,3090.29,95,2
482,1,28.47,1,0
207,1,6.65,1,0
636,1,27.76,1,0
1237,4,117.71,4,0
1542,48,466.57,44,3
1982,1,54.0,1,1
2628,1,23.3,1,1
1586,4,59.35,4,1
274,61,743.14,56,3
728,16,206.57,12,0
1653,7,102.68,7,1
2295,2,15.55,2,1
644,4,31.46,4,0
930,7,104.54,5,0
1069,1,8.1,1,0
1540,2,22.63,2,1
903,28,380.17,24,3
1606,4,26.44,4,1
2489,1,69.67,1,1
176,52,475.25,47,3
511,24,338.89,19,0
843,15,191.42,14,0
2647,1,14.92,1,1
1297,45,157.88,22,3
453,38,492.54,29,3
2900,2,46.07,2,1
199,21,735.79,18,3
413,52,867.86,43,3
2514,3,171.32,3,1
570,35,461.46,18,3
2718,3,214.95,3,1
502,15,104.85,13,0
951,4,73.43,4,0
2379,1,72.83,1,1
2202,21,676.99,19,3
877,6,79.98,5,0
1243,22,355.92,21,0
1361,2,36.38,2,0
1601,17,155.55,15,1
259,5,52.28,5,0
876,26,333.48,22,3
430,14,76.02,12,0
630,4,18.32,4,0
2120,1,41.63,1,1
1233,3,37.02,3,0
2200,12,87.43,12,1
1408,59,488.62,43,3
995,8,113.45,8,0
170,32,236.34,28,3
2407,2,66.65,2,1
1838,26,263.33,19,1
242,6,45.91,5,0
333,7,115.31,7,0
506,3,16.77,3,0
809,15,97.55,15,0
2102,6,85.76,6,1
174,7,67.24,5,0
2931,1,53.12,1,1
491,5,54.21,4,0
1213,12,174.81,7,0
876,7,66.49,6,0
807,1,16.66,1,0
507,14,302.43,13,0
2352,4,118.29,4,1
466,160,1666.65,116,2
727,1,17.11,1,0
945,1,20.76,1,0
1990,6,168.5,5,1
350,17,321.86,16,0
1162,7,55.68,7,0
2333,4,104.81,4,1
261,106,515.46,74,3
2171,5,131.93,3,1
1451,13,60.83,12,1
554,8,74.4,7,0
686,19,168.49,18,0
